problem,obs,metric,scores,real_goal,pred_goal,correct
output/hanoi_gr7/,0.7,MaxUtil,"[(0, -1.6619041218559987), (3, -0.47044607433253927), (2, -1.4255295606909426e-06), (1, -1.3594506971743692e-06)]",0,0,True
output/hanoi_gr7/,0.7,DP,"[(0, -11), (3, -8), (1, 0), (2, 0)]",0,0,True
output/hanoi_gr7/,0.7,KL,"[(0, 0.5100870613248489), (3, 0.8382468418941064), (1, 4.4299352573374655), (2, 15.259072067638614)]",0,0,True
output/hanoi_gr7/,0.7,KL2,"[(0, 0.509972842344236), (3, 0.8381187222976567), (1, 1.6107813503066404), (2, 11.096981828066811)]",0,0,True
output/hanoi_gr7/,1.0,MaxUtil,"[(0, -1.6666648770969585), (3, -0.47520682957349925), (2, -3.5988238142142777e-06), (1, -3.5084885036864472e-06)]",0,0,True
output/hanoi_gr7/,1.0,DP,"[(0, -15), (3, -12), (1, 0), (2, 0)]",0,0,True
output/hanoi_gr7/,1.0,KL,"[(0, 0.5186676326197613), (3, 0.7593181383169786), (1, 3.9033773181242353), (2, 11.544486111697724)]",0,0,True
output/hanoi_gr7/,1.0,KL2,"[(0, 0.5185540949973225), (3, 0.7591944069095952), (1, 1.8214540065880795), (2, 9.235134913004627)]",0,0,True
output/hanoi_gr8/,0.1,MaxUtil,"[(0, -0.004102710886399991), (1, -0.004102710886399991), (3, -1.0736921958097319e-06), (2, -1.0610106787828457e-06)]",0,1,False
output/hanoi_gr8/,0.1,DP,"[(0, -2), (1, -2), (2, 0), (3, 0)]",0,1,False
output/hanoi_gr8/,0.1,KL,"[(1, 0.5210419793107601), (0, 0.5210419793168957), (2, 2.1826526925691585), (3, 6.876195727837072)]",0,1,False
output/hanoi_gr8/,0.1,KL2,"[(1, 0.5209272730006861), (0, 0.5209272730068213), (2, 1.0912336016881519), (3, 6.875822656604694)]",0,1,False
output/hanoi_gr8/,0.3,MaxUtil,"[(0, -0.17461492121599975), (1, -0.07861492121283353), (3, -1.1312654629142445e-06), (2, -7.344130708824383e-07)]",0,0,True
output/hanoi_gr8/,0.3,DP,"[(0, -5), (1, -4), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr8/,0.3,KL,"[(0, 0.5451427892751596), (1, 0.8095284082702223), (3, 7.330209653109921), (2, 26.911900882776184)]",0,0,True
output/hanoi_gr8/,0.3,KL2,"[(0, 0.5450270108406874), (1, 0.8094015256397522), (3, 7.329817242095501), (2, 10.76428865841169)]",0,0,True
output/hanoi_gr8/,0.5,MaxUtil,"[(0, -0.09601593245695982), (1, -0.09601593245695982), (3, -3.3117988134990973e-06), (2, -2.8691655652516454e-06)]",0,1,False
output/hanoi_gr8/,0.5,DP,"[(0, -8), (1, -8), (2, 0), (3, 0)]",0,1,False
output/hanoi_gr8/,0.5,KL,"[(0, 0.5316530915223474), (1, 0.5316530915241988), (2, 2.181828593012859), (3, 9.964320031952756)]",0,0,True
output/hanoi_gr8/,0.5,KL2,"[(0, 0.5315399064235793), (1, 0.5315399064254305), (2, 0.818113360878017), (3, 9.963821906633083)]",0,0,True
output/hanoi_gr8/,0.7,MaxUtil,"[(0, -1.6291696998809586), (1, -0.35701129410773424), (3, -3.2000223075391195e-06), (2, -2.197927136323008e-06)]",0,0,True
output/hanoi_gr8/,0.7,DP,"[(0, -11), (1, -8), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr8/,0.7,KL,"[(0, 0.5178040455531818), (1, 0.8159097206391347), (3, 6.618221136321822), (2, 14.21184375697312)]",0,0,True
output/hanoi_gr8/,0.7,KL2,"[(0, 0.5176909329161403), (1, 0.8157839084543063), (2, 6.459624388547372), (3, 6.617858612722619)]",0,0,True
output/hanoi_gr8/,1.0,MaxUtil,"[(0, -1.6666648770969585), (1, -0.3945064713237342), (3, -4.261660769319597e-06), (2, -2.9323402072054463e-06)]",0,0,True
output/hanoi_gr8/,1.0,DP,"[(0, -15), (1, -12), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr8/,1.0,KL,"[(0, 0.5186674945593791), (1, 0.7372783229572021), (3, 9.209533268693503), (2, 12.269116156867108)]",0,0,True
output/hanoi_gr8/,1.0,KL2,"[(0, 0.5185539569428622), (1, 0.7371554723389746), (2, 4.907408377072205), (3, 9.209065052016483)]",0,0,True
output/hanoi_gr9/,0.1,MaxUtil,"[(0, -1.0040959999999994), (2, -0.16408025434475115), (1, -1.890376351617346e-15), (3, -6.162240977127223e-20)]",0,0,True
output/hanoi_gr9/,0.1,DP,"[(0, -2), (2, -2), (1, 0), (3, 0)]",0,2,False
output/hanoi_gr9/,0.1,KL,"[(0, 0.6415405958975509), (2, 0.7406301611514494), (1, 21.279301517656094), (3, 35.23743763130888)]",0,0,True
output/hanoi_gr9/,0.1,KL2,"[(0, 0.6414205291998609), (2, 0.7405055877148421), (1, 10.639170947767205), (3, 17.617953399230796)]",0,0,True
output/hanoi_gr9/,0.3,MaxUtil,"[(0, -1.2257432575999991), (2, -0.2897275119446881), (1, -7.753529103280205e-08), (3, -2.6978757497937624e-08)]",0,0,True
output/hanoi_gr9/,0.3,DP,"[(0, -5), (2, -3), (1, 0), (3, 0)]",0,0,True
output/hanoi_gr9/,0.3,KL,"[(0, 0.5451406157285151), (2, 0.8491620610761836), (3, 8.555690245084097), (1, 8.772207152760817)]",0,0,True
output/hanoi_gr9/,0.3,KL2,"[(0, 0.5450248373878039), (2, 0.8490333758438968), (3, 3.4220974413377427), (1, 3.5087005311203554)]",0,0,True
output/hanoi_gr9/,0.5,MaxUtil,"[(0, -1.186641823170559), (2, -0.2506260775152482), (1, -2.248412496491368e-06), (3, -2.174600083295786e-06)]",0,0,True
output/hanoi_gr9/,0.5,DP,"[(0, -8), (2, -6), (1, 0), (3, 0)]",0,0,True
output/hanoi_gr9/,0.5,KL,"[(0, 0.5919037577914774), (2, 0.7819171612611007), (3, 3.8205236070407453), (1, 3.8465941022511503)]",0,0,True
output/hanoi_gr9/,0.5,KL2,"[(0, 0.5917878924403219), (2, 0.781793229102705), (3, 2.387671520474866), (1, 2.4039625293107996)]",0,0,True
output/hanoi_gr9/,0.7,MaxUtil,"[(0, -1.6522842497023986), (2, -0.38023599636929134), (1, -2.248409419099946e-06), (3, -2.174591091515008e-06)]",0,0,True
output/hanoi_gr9/,0.7,DP,"[(0, -11), (2, -8), (1, 0), (3, 0)]",0,0,True
output/hanoi_gr9/,0.7,KL,"[(0, 0.5319959043297634), (2, 0.8310926395700128), (3, 5.178465267782676), (1, 5.4322448047291845)]",0,0,True
output/hanoi_gr9/,0.7,KL2,"[(0, 0.5318807107330653), (2, 0.8309647028932791), (3, 2.824449269085004), (1, 2.9628670822241303)]",0,0,True
output/hanoi_gr9/,1.0,MaxUtil,"[(0, -1.6666648770969585), (2, -0.3946166237638513), (1, -3.6596570487652904e-06), (3, -3.592682604428389e-06)]",0,0,True
output/hanoi_gr9/,1.0,DP,"[(0, -15), (2, -12), (1, 0), (3, 0)]",0,0,True
output/hanoi_gr9/,1.0,KL,"[(0, 0.5186669108461904), (2, 0.7380045167125665), (1, 6.585575841457457), (3, 7.963279496757194)]",0,0,True
output/hanoi_gr9/,1.0,KL2,"[(0, 0.5185533732548878), (2, 0.7378816341959037), (1, 3.9511246494773222), (3, 4.777714111678366)]",0,0,True
output/hanoi_gr10/,0.1,MaxUtil,"[(0, -0.4102399999999996), (3, -0.02625535999999995), (1, -0.0001406228910861961), (2, -7.101662140726759e-07)]",0,0,True
output/hanoi_gr10/,0.1,DP,"[(0, -2), (3, -2), (1, 0), (2, 0)]",0,3,False
output/hanoi_gr10/,0.1,KL,"[(0, 0.6415460290875232), (3, 0.6415460290875235), (2, 2.5026247189783764), (1, 9.478136781413493)]",0,0,True
output/hanoi_gr10/,0.1,KL2,"[(0, 0.6414259621554602), (3, 0.6414259621554604), (2, 2.5024264733008543), (1, 9.477657119770429)]",0,0,True
output/hanoi_gr10/,0.3,MaxUtil,"[(0, -1.2240419430399991), (3, -0.07833868435455985), (1, -0.06400040094827426), (2, -1.189862714721175e-06)]",0,0,True
